title,date,public,duration,note,synopsis,genre,actors,Origin language,Origin country,Origin title,number saison,number episode
Planet Earth II,2016,TV-G,"4, ,hours, ,58, ,minutes",9.5,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Documentary,"David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","English,French","United Kingdom,Germany,France,China,United States",,,6
Nathan for You,2013–2017,TV-14,"30, ,minutes",8.9,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often dr..., ","Documentary,Comedy","Nathan Fielder,Anthony Filosa,Brian S. Wolfe,Simon Kellog,William Heath,Salomon Flores,Tony Napoli,James Bailey,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton",English,United States,,4 seasons,32
Orgueil et préjugés,1995,TV-PG,"5, ,hours, ,27, ,minutes",8.8,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Drama,Romance","Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt",English,United Kingdom,Original title: Pride and Prejudice,,6
La Forêt de l'Étrange,2014,TV-PG,"22, ,minutes",8.8,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Animation,Adventure,Drama,Family,Fantasy,Horror,Musical,Mystery,Thriller","Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Noureen DeWulf,Bebe Neuwirth,Deborah Voigt",English,United States,Original title: Over the Garden Wall,,10
Twin Peaks,1990–1991,Tous publics,"47, ,minutes",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Crime,Drama,Mystery,Thriller","Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe","English,Icelandic,Afrikaans,Norwegian",United States,,2 seasons,30
Kota Factory,2019–2021,13,"45, ,minutes",9.2,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day ..., ","Comedy,Drama","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera,Avi Singh",Hindi,India,,2 seasons,10
Friends,1994–2004,Tous publics,"22, ,minutes",8.8,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Comedy,Romance","Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi","English,Spanish,Italian,French,Dutch,Hebrew",United States,,10 seasons,235
Dexter: New Blood,2021– ,TV-MA,,9.0,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Crime,Drama,Mystery","Michael C. Hall,Jack Alcott,Julia Jones,Johnny Sequoyah,Alano Miller,Jennifer Carpenter,David Magidoff,Clancy Brown,Michael Cyril Creighton,Katy Sullivan,Steve M. Robertson,Oscar Wahlberg,Andrew Fama,Dustin Tucker,Dee Nelson,Armen Garo,Fredric Lehne,Gizel Jimenez",English,United States,,,10
"Monty Python's Flying Circus ; Absurde, n'est-il pas?",1969–1974,Tous Public,"30, ,minutes",8.8,The original surreal sketch comedy showcase for the Monty Python troupe.,Comedy,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,Monty Python,Ian Davidson,John Hughman,The Fred Tomlinson Singers,Bob Raymond,Connie Booth,Lyn Ashley,Frank Lester,Rita Davies,Maureen Flanagan,Donna Reading","English,Arabic,French,German,Italian,Mandarin,Spanish",United Kingdom,Original title: Monty Python's Flying Circus,4 seasons,45
Souvenirs de Gravity Falls,2012–2016,Tous publics,"23, ,minutes",8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Animation,Action,Adventure,Comedy,Drama,Family,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Gregg Turkington,Jennifer Coolidge,Carl Faruolo,Niki Yang,Dee Bradley Baker,T.J. Miller,Will Forte,Grey Griffin,Thurop Van Orman",English,United States,Original title: Gravity Falls,2 seasons,40
Seinfeld,1989–1998,Tous publics,"22, ,minutes",8.8,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Comedy,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy",English,United States,,9 seasons,173
TVF Pitchers,2015,TV-MA,"40, ,minutes",9.1,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Comedy,Drama","Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan,Akanksha Thakur,Maanvi Gagroo,Gopal Datt,Jaimini Pathak,Pranav Bhasin,Rajesh Sharma,Suneel Sinha,Biswapati Sarkar,Arnav Bhasin,Aditi Singh,Natasha Azad,Manjiri Pupala,Abhishek Banerjee,Manuj Sharma","Hindi,English",India,,,5
Black Mirror,2011–2019,16,"1, ,hour",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama,Sci-Fi,Thriller","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell,Alex Lawther,Malachi Kirby",English,United Kingdom,,5 seasons,22
Last Week Tonight with John Oliver,2014– ,10,"30, ,minutes",8.8,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"Comedy,History,News,Reality-TV,Talk-Show","John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Gilbert Gottfried,Rachel Dratch,James Wojtal,George Clooney,Kyle Ploof,Moujan Zolfaghari,Paul McGinnis,Alex Webb,Thomas Kopache,Stephanie D'Abruzzo,Jack McBrayer,Frances Mitchell",English,United States,,8 seasons,240
Only Fools and Horses,1981–2003,TV-PG,"1, ,hour, ,35, ,minutes",8.9,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Comedy,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,John Sullivan,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse",English,United Kingdom,Original title: Only Fools and Horses....,9 seasons,64
Le bateau,1985–1987,TV-MA,"4, ,hours, ,53, ,minutes",8.8,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Drama,Thriller,War","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme","German,French,English","West Germany,France,United Kingdom,Italy",Original title: Das Boot,,3
Special OPS,2020– ,TV-MA,"49, ,minutes",8.7,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in ..., ","Action,Crime,Thriller","Kay Kay Menon,Karan Tacker,Gautami Kapoor,Muzamil Ibrahim,Anuj Sharma,Vinay Pathak,Meher Vij,Sajjad Delafrooz,Saiyami Kher,Rajat Kaul,Parmeet Sethi,Vipul Gupta,Sana Khaan,Kali Prasad Mukherjee,Karan Ashar,Divya Dutta,Revathi Pillai,Pakkhi Guptaa",Hindi,India,,,8
Goblin,2016–2017,TV-14,"2, ,hours",8.6,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Comedy,Drama,Fantasy,Romance","Gong Yoo,Kim Go-eun,Lee Dong-Wook,Yoo In-Na,Sung-Jae Yook,Lee El,Woo-jin Jo,Sung Kyum Kim,Byeong-cheol Kim,Kim So-Hyun,Min-Jae Kim,Yeom Hye-ran,Woong Choi,Kyung-hye Park,Choi Ri,Yeong-gi Jeong,Ko Bo-Gyeol,Anastasia Kim",Korean,South Korea,Original title: Sseulsseulhago Chalranhashin: Dokkaebi,,16
Avrupa Yakasi,2004–2009,,"1, ,hour",8.5,The life and times of rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Comedy,"Yakup Tekin,Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Yildirim Öcek,Veysel Diker,Gazanfer Özcan,Hümeyra,Yavuz Seçkin,Engin Günaydin,Hasibe Eren,Sarp Apak,Rutkay Aziz,Vural Çelik,Celal Belgil,Sensel Uykal,Ececan Gümeci",Turkish,Turkey,,6 seasons,190
Garth Marenghi's Darkplace,2004,TV-MA,"30, ,minutes",8.5,"This parody series is an unearthed 80s horror/drama, complete with poor production values, awful dialogue and hilarious violence. The series is set in a Hospital in Romford, which is situate..., ","Comedy,Fantasy,Horror,Sci-Fi","Richard Ayoade,Matt Berry,Matthew Holness,Alice Lowe,Kim Noble,Julian Barratt,Matt Green,Sarah Kants,Graham Linehan,Stephen Merchant,Spencer Brown,Noel Fielding,Paul King,Lydia Fox,Bronwen Davies,Lawrence Michelowski,Kevin Hudson,Nicholas Ivanov",English,United Kingdom,,,6
Vikings,2013–2020,12,"44, ,minutes",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Action,Adventure,Drama,History,Romance,War","Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,Alex Høgh Andersen,Jordan Patrick Smith,Marco Ilsø,Peter Franzén,Travis Fimmel,Clive Standen,John Kavanagh,Jennie Jacques,Maude Hirst,Moe Dunford,Alyssa Sutherland,Linus Roache,George Blagden,Adam Copeland","English,Old English,Norse, Old,Latin,French,Arabic,Greek, Ancient (to 1453),Russian","Ireland,Canada",,6 seasons,93
Wentworth,2013–2021,13,"45, ,minutes",8.6,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,"Crime,Drama","Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacqueline Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lauri McLennan,Lucia Brancatisano,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",English,Australia,,9 seasons,100
Scènes de la vie conjugale,1973,TV-PG,"4, ,hours, ,43, ,minutes",8.4,Ten years within the marriage of Marianne and Johan.,Drama,"Liv Ullmann,Erland Josephson,Bibi Andersson,Gunnel Lindblom,Jan Malmsjö,Wenche Foss,Anita Wall,Bertil Norström,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs",Swedish,Sweden,Original title: Scener ur ett äktenskap,,6
Jésus de Nazareth,1977,TV-G,"6, ,hours, ,22, ,minutes",8.5,"Beginning before the Nativity and extending through the Crucifixion and Resurrection, this mini-series brings to life all of the sweeping drama in the life of Jesus, as told by the Gospels.","Biography,Drama,History","Robert Powell,Olivia Hussey,Laurence Olivier,James Mason,Anne Bancroft,Ernest Borgnine,Claudia Cardinale,Valentina Cortese,James Farentino,James Earl Jones,Stacy Keach,Tony Lo Bianco,Ian McShane,Donald Pleasence,Christopher Plummer,Anthony Quinn,Fernando Rey,Ralph Richardson","English,Syriac","Italy,United Kingdom",Original title: Jesus of Nazareth,,4
X-Men,1992–1997,TV-Y7,"23, ,minutes",8.4,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,"Animation,Action,Family,Sci-Fi","Cedric Smith,Cal Dodd,Lenore Zann,George Buza,Alyson Court,Catherine Disher,Norm Spencer,Chris Potter,Alison Sealy-Smith,Lawrence Bayne,David Hemblen,John Colicos,Ron Rubin,Don Francks,Stephen Ouimette,Marc Strange,Philip Akin,Lally Cadeau",English,"United States,Canada",,5 seasons,76
Flames,2018–2019,TV-14,"20, ,minutes",9.1,A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,"Comedy,Drama,Romance","Ritvik Sahore,Tanya Maniktala,Sunakshi Grover,Shivam Kakar,Deepesh Sumitra Jagdish,Farabi Md Refat,Kunal Aneja,Sachin Kathuria,Neelu Dogra,Sachin Vidrohi,Purnendu Bhattacharya,Anushka Sharma,Raj Sharma,Sahil Verma,Ujjawal Aggarwal,Simar Singh Oberoi,Lalit Shokeen,Manan Madaan",Hindi,India,,2 seasons,10
Feud,2017,Tous publics,"6, ,hours, ,46, ,minutes",8.5,"Planned anthology series centering on famous feuds, including Bette Davis and Joan Crawford that is discontinued at the moment.","Biography,Drama","Susan Sarandon,Jessica Lange,Judy Davis,Jackie Hoffman,Alfred Molina,Stanley Tucci,Alison Wright,Catherine Zeta-Jones,Dominic Burgess,Joel Kelley Dauten,Kathy Bates,Kiernan Shipka,Molly Price,Brooke Star,Chelsea Summer,Matthew Glave,Reed Diamond,John Rubinstein",English,United States,,,8
Futurama,1999–2013,Tous publics,"22, ,minutes",8.4,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Animation,Adventure,Comedy,Sci-Fi","Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson",English,United States,,10 seasons,140
Le prisonnier,1967–1968,Tous Public,"50, ,minutes",8.5,"After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison. His warders demand information. He gives them nothing, but only t..., ","Drama,Mystery,Sci-Fi","Patrick McGoohan,Angelo Muscat,Peter Swanwick,Peter Brace,Leo McKern,Christopher Benjamin,Michael Miller,Alexis Kanner,Bill Cummings,Frank Maher,Patrick Cargill,Colin Gordon,Kenneth Griffith,Georgina Cookson,Harold Berens,John Cazabon,Bee Duffell,John Maxim","Russian,German,Romany,Spanish,French,Polish",,Original title: The Prisoner,,17
The Venture Bros.,2003–2018,TV-MA,"22, ,minutes",8.5,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.","Animation,Action,Adventure,Comedy,Sci-Fi","Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",English,United States,,7 seasons,86
Horace and Pete,2016,TV-MA,"1, ,hour, ,7, ,minutes",8.5,"Louis C.K.'s Eugene O'Neill-esque dramedic web series about two brothers, introverted Horace and mentally ill Pete, the current owners of their family's Irish bar ""Horace and Pete's"", and th..., ","Comedy,Drama","Louis C.K.,Steve Buscemi,Edie Falco,Steven Wright,Kurt Metzger,Alan Alda,Jessica Lange,Liza Treyger,Aidy Bryant,Nick Di Paolo,Maria Dizzia,Tom Noonan,Dov Davidoff,Craig muMs Grant,Reg E. Cathey,Greer Barnes,Karen Pittman,Mark Normand",English,United States,,,10
Luther,2010–2019,12,"1, ,hour",8.4,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,"Crime,Drama,Mystery,Thriller","Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,Ruth Wilson,Paul McGann,Nikki Amuka-Bird,Steven Mackintosh,Saskia Reeves,Indira Varma,Patrick Malahide,Sienna Guillory,Aimee-Ffion Edwards,David O'Hara,Kierston Wareing,Michael Obiora,Anton Valensi,Enzo Cilenti",English,United Kingdom,,5 seasons,21
Delhi Crime,2019– ,16,"50, ,minutes",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.","Crime,Drama","Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora,Jaya Bhattacharya,Yashaswini Dayama,Vinod Sharawat,Adil Hussain,Denzil Smith,Gopal Datt,Sidharth Bhardwaj,Swati Bhatia,Mridul Sharma,Abhilasha Singh,Sanjay Bishnoi,Shobhna Bharadwaj,Gaurav Rana,Amitabh Acharya","English,Hindi",India,,,8
Kôkaku kidôtai: Stand Alone Complex,2002–2005,TV-MA,"24, ,minutes",8.5,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,"Animation,Action,Crime,Sci-Fi,Thriller","Shirô Saitô,Mary Elizabeth McGlynn,William Frederick Knight,Richard Epcar,Crispin Freeman,Peggy O'Neal,Dino Andrade,Kevin Brief,Loy Edge,Barbara Goodson,Kate Higgins,Patricia Ja Lee,Michael McConnohie,Liam O'Brien,Douglas Rye,Barry Stigler,Doug Stone,Julie Ann Taylor",Japanese,Japan,,2 seasons,52
"Unsere Mütter, unsere Väter",2013,TV-MA,"4, ,hours, ,30, ,minutes",8.5,Five friends go out to war and promise each other to be back for Christmas.,"Action,Drama,History,War","Volker Bruch,Tom Schilling,Katharina Schüttler,Miriam Stein,Ludwig Trepte,Mark Waschke,Henriette Richter-Röhl,Götz Schubert,Hildegard Schroedter,Christiane Paul,Sylvester Groth,Alina Levshin,Lucas Gregorowicz,Maxim Mehmet,Adam Markiewicz,Johanna Gastdorf,Peter Kremer,Trystan Pütter",German,Germany,,,3
Inside No. 9,2014– ,TV-MA,"30, ,minutes",8.5,"Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with th..., ","Comedy,Drama,Horror","Reece Shearsmith,Steve Pemberton,Derek Jacobi,Katherine Parkinson,Aimee-Ffion Edwards,Rosie Cavaliero,Denis Lawson,Sheridan Smith,Christopher Whitlow,Alexandra Roach,Peter Kay,Nicola Walker,Monica Dolan,Weruche Opia,Jaygann Ayeh,Jenna Coleman,David Morrissey,Phil Davis",English,United Kingdom,,7 seasons,39
It's Okay to Not Be Okay,2020,13,"1, ,hour, ,20, ,minutes",8.7,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"Comedy,Drama,Romance","Kim Soo-hyun,Seo Ye-Ji,Oh Jeong-Se,Park Gyuyoung,Park Jin-Joo,Kim Joo-Heon,Kang Ki-Doong,Jang Young-Nam,Jang Gyu-ri,Kim Chang-wan,Lee Eol,Jeong Jaekwang,Ki-Cheon Kim,Kim Mi-Kyung,Choi Woo-Sung,Kim Soo-In,Kang Ji-Eun,Joon Seo",Korean,South Korea,Original title: Saikojiman Gwaenchanha,,16
Dr. Horrible's Sing-Along Blog,2008,TV-PG,"42, ,minutes",8.5,An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,"Short,Comedy,Musical,Sci-Fi","Neil Patrick Harris,Nathan Fillion,Felicia Day,Simon Helberg,Nick Towne,Jed Whedon,Rob Reinis,Otto Michael Penzato,Richard Partlow,Maurissa Tancharoen,Stacy Shirk,Steve Berg,David Fury,Marti Noxon,Michael Boretz,Lance W. Lanfear,Michael G. Canaan,Jonathan Reilly",English,United States,,,3
Community,2009–2015,Tous publics,"22, ,minutes",8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Comedy,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",English,United States,,6 seasons,110
The Knick,2014–2015,16,"58, ,minutes",8.5,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Drama,History","André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin","English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish",United States,,2 seasons,21
The Punisher,2017–2019,16,"53, ,minutes",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Action,Crime,Drama,Thriller","Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,Ebon Moss-Bachrach,Floriana Lima,Josh Stewart,Giorgia Whigham,Jaime Ray Newman,Kobi Frumer,Paul Schulze,Michael Nathanson,Royce Johnson,Tony Plana,Ripley Sobo,Daniel Webber,Kelli Barrett,Samuel María Gómez",English,United States,,2 seasons,26
"Love, Death & Robots",2019– ,18,"15, ,minutes",8.5,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Animation,Short,Action,Adventure,Comedy,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Scott Whyte,Nolan North,Steven Pacey,Emily O'Brien,Fred Tatasciore,Matthew Yang King,Michelle C. Bonilla,Chris Cox,Ike Amadi,Noshir Dalal,Piotr Michael,Mary Elizabeth Winstead,Samira Wiley,Kevin Michael Richardson,Maurice LaMarche,Josh Brener,Helen Sadler,Stefan Kapicic",English,United States,,2 seasons,26
John Adams,2008,TV-14,"1, ,hour, ,11, ,minutes",8.5,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.","Biography,Drama,History","Paul Giamatti,Laura Linney,John Dossett,Stephen Dillane,Sarah Polley,Samuel Barnett,David Morse,Andrew Scott,Danny Huston,Ebon Moss-Bachrach,Steven Hinkle,Madeline Taylor,Mamie Gummer,Kevin Trainor,Tom Wilkinson,Michael Hall D'Addario,Rufus Sewell,Justin Theroux",English,United States,,,7
Black Books,2000–2004,TV-PG,"25, ,minutes",8.5,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many ..., ",Comedy,"Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Tony Bluto,Terry Bird,Jessica Hynes,Rose Keegan,Nina Conti,Mick Walter,Howard Coggins",English,United Kingdom,,3 seasons,18
Schitt's Creek,2015–2020,Tous publics,"22, ,minutes",8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",Comedy,"Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",English,"Canada,United States",,6 seasons,80
Mare of Easttown,2021,12,"1, ,hour",8.5,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,"Crime,Drama,Mystery","Kate Winslet,Julianne Nicholson,Jean Smart,Angourie Rice,John Douglas Thompson,Joe Tippett,Cameron Mann,Jack Mulhern,Izzy King,Justin Hurtt-Dunkley,Sosie Bacon,David Denman,Neal Huff,James McArdle,Guy Pearce,Ruby Cruz,Enid Graham,Chinasa Ogbuagu",English,United States,,,7
Erased,2016,13,"4, ,hours, ,24, ,minutes",8.5,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade.","Animation,Drama,Fantasy,Mystery,Sci-Fi,Thriller","Tao Tsuchiya,Ben Diskin,Michelle Ruff,Shinnosuke Mitsushima,Minami Takayama,Stephanie Sheh,Sara Cravens,David W. Collins,Mitsuru Miyamoto,Christine Marie Cabanos,Aoi Yûki,Ayaka Nanase,Erica Mendez,Ryan Bartley,Akari Kitô,You Taichi,Bobby Thong,Yukitoshi Kikuchi",Japanese,Japan,Original title: Boku dake ga inai machi,,13
Bir Baskadir,2020– ,16,"49, ,minutes",8.5,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some..., ","Drama,Thriller","Öykü Karayel,Fatih Artman,Funda Eryigit,Defne Kayalar,Settar Tanriögen,Tülin Özen,Bige Önal,Göktug Yildirim,Neil Vanides,Gokhan Yikilkan,Alican Yücesoy,Nesrin Cavadzade,Cemre Zisan Sagbir,Esme Madra,Derya Karadas,Aziz Çapkurt,Incinur Sevimli,Özge Özel","Turkish,Arabic,Kurdish",Turkey,,,8
L'amie prodigieuse,2018– ,10,"1, ,hour",8.6,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,Drama,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Valentina Acca,Giovanni Amura,Antonio Buonanno,Gennaro De Stefano,Francesco Serpico,Elvis Esposito,Luca Gallone,Fabrizio Cottone,Ulrike Migliaresi,Chiara Di Costanzo,Pina Di Gennaro,Sarah Falanga,Anna Cerchia","Italian,Neapolitan","Italy,United States",Original title: L'amica geniale,2 seasons,20
