title,date,public,duration,note,synopsis,genre,actors,Origin language,Origin country,Origin title,number saison,number episode
Afrique sauvage,2013,TV-PG,"6, ,hours",8.9,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles an..., ",Documentary,"David Attenborough,Simon Blakeney,Mark Deeble,Matthew Wright,Mike Fox,Martyn Colbeck,Kate Broome,Bill Rudolph,Kevin Flay,Mark MacEwen,E.O. Wilson,Justin Maguire,Hugh Pearson,Andres Bifani,James Aldred,Warwick Sloss,Olubi Lairumbe,Tim Berrow",English,United Kingdom,Original title: Africa,,7
Apocalypse: La 2ème guerre mondiale,2009,TV-MA,"5, ,hours, ,12, ,minutes",9.0,"Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war corr..., ","Documentary,History,War","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",French,France,,,6
Dans leur regard,2019,TV-MA,"4, ,hours, ,56, ,minutes",8.9,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Biography,Crime,Drama,History","Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache",English,United States,Original title: When They See Us,,4
Hunter x Hunter,2011–2014,Tous publics,"24, ,minutes",9.0,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.","Animation,Action,Adventure,Comedy,Fantasy","Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert","Japanese,English",Japan,,,148
L'attaque des titans,2013–2022,16,"24, ,minutes",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Animation,Action,Adventure,Drama,Fantasy,Horror","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa,Bryce Papenbrook,Trina Nishimura,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Hiroshi Kamiya,Yû Kobayashi,Matthew Mercer,Jessica Calvello,Daisuke Ono,Yoshimasa Hosoya,Ashly Burch",Japanese,Japan,Original title: Shingeki no kyojin,4 seasons,86
Fargo,2014– ,Tous publics,"53, ,minutes",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime,Drama,Thriller","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson","English,German,Korean,Spanish,American Sign Language,French,Ukrainian,Hebrew,Russian",United States,,4 seasons,41
Cowboy Bebop,1998–1999,Tous publics,"24, ,minutes",8.9,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Animation,Action,Adventure,Comedy,Drama,Sci-Fi","Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji","English,Japanese",Japan,Original title: Kaubôi bibappu,,26
The Civil War,1990,TV-14,"11, ,hours, ,20, ,minutes",9.0,A comprehensive survey of the American Civil War.,"Documentary,History,War","David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons",English,United States,,,9
Death Note,2006–2007,10,"24, ,minutes",9.0,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Animation,Crime,Drama,Fantasy,Mystery,Thriller","Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",Japanese,Japan,Original title: Death Note: Desu nôto,,37
Le décalogue,1989–1990,TV-MA,"9, ,hours, ,32, ,minutes",9.0,"Ten television drama films, each one based on one of the Ten Commandments.",Drama,"Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony",Polish,"Poland,West Germany",Original title: Dekalog,,10
True Detective,2014–2019,12,"55, ,minutes",8.9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime,Drama,Mystery,Thriller","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",English,United States,,3 seasons,24
Terres de glace,2011–2012,TV-PG,"5, ,hours, ,33, ,minutes",9.0,Focuses on life and the environment in both the Arctic and Antarctic.,Documentary,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Gavin Thurston,Miles Barton,Mark Linfield,Doug Anderson,Vanessa Berlowitz,Jeff Turner,Doug Allan,Didier Noirot,Jeff Wilson,Jamie McPherson,John Aitchison,Mark Smith,Niobe Thompson","English,Russian","United Kingdom,United States,Spain,Germany,Greece,Canada",Original title: Frozen Planet,,10
Sahsiyet,2018,TV-MA,"1, ,hour, ,5, ,minutes",9.1,A man diagnosed with Alzheimer's decides to punish criminals.,"Crime,Drama,Mystery,Thriller","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun",Turkish,Turkey,,,12
Clarkson à la ferme,2021– ,16,"45, ,minutes",9.1,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Documentary,Reality-TV","Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,Lisa Hogan,Kevin Harrison,Ellen Helliwell,Dave Clay",English,United Kingdom,Original title: Clarkson's Farm,2 seasons,9
Firefly,2002–2003,Tous publics,"44, ,minutes",9.0,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag..., ","Adventure,Drama,Sci-Fi","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Isabella Hofmann,Doug Savant,Tom Towles","English,Mandarin",United States,,,14
Planète des hommes,2011,TV-PG,"50, ,minutes",9.0,"Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of envir..., ",Documentary,"John Hurt,Roger Munns",English,United Kingdom,Original title: Human Planet,,8
Batman,1992–1995,Tous publics,"23, ,minutes",9.0,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Animation,Action,Adventure,Crime,Family,Mystery,Sci-Fi","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",English,United States,Original title: Batman: The Animated Series,4 seasons,85
The Blue Planet,2001,TV-G,"6, ,hours, ,29, ,minutes",9.0,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",Documentary,"David Attenborough,Pierce Brosnan",English,United Kingdom,,,8
The Vietnam War,2017,TV-MA,"16, ,hours, ,30, ,minutes",9.1,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Documentary,History,War","Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh,Bill Zimmerman,Leslie Gelb,Hal Kushner,Roger Harris,Carol Crocker,Tim O'Brien,Jack Todd,Bui Diem,Robert Gard",English,,,,10
The Office,2005–2013,13,"22, ,minutes",8.9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Comedy,"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,Mindy Kaling,B.J. Novak,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",English,United States,,9 seasons,188
SCAM 1992: The Harshad Mehta Story,2020,TV-14,"54, ,minutes",9.5,"Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","Biography,Crime,Drama,Thriller","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker,Kartik Krishnan",Hindi,India,Original title: Scam 1992: The Harshad Mehta Story,,10
Fullmetal Alchemist: Brotherhood,2009–2012,Tous publics,"24, ,minutes",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Animation,Action,Adventure,Comedy,Drama,Fantasy,Sci-Fi","Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,Kenta Miyake,J. Michael Tatum,Yuki Hayashi,Caitlin Glass,Monica Rial,Megumi Takamoto",Japanese,Japan,Original title: Hagane no renkinjutsushi,,69
"Life, l'aventure de la vie",2009,Tous publics,"7, ,hours, ,53, ,minutes",9.1,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to..., ",Documentary,"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Justine Evans,Jonathan Smith,Michael Pitts,Barrie Britton,Neil Lucas,Kevin Flay,Matthew Swarbrick,Nick Guy,Stephen Lyle,Doug Anderson,Adam Chapman,Martha Holmes,Mike Pitts,Rick Rosenthal",English,"United Kingdom,United States,Greece,Italy,Germany",Original title: Life,,11
The Last Dance,2020,7,"8, ,hours, ,11, ,minutes",9.1,"Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Documentary,Biography,History,Sport","Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Steve Kerr,Michael Wilbon,Andrea Kremer,Deloris Jordan,Bill Wennington,John Paxson,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Jerry Reinsdorf,B.J. Armstrong,Mark Vancil,Sam Smith",English,United States,,,10
